target_chembl_id,target_pref_name,target_organism,uniprot_accession,has_uniprot
CHEMBL5287,Hepatic sodium/bile acid cotransporter,Homo sapiens,Q2TU29,True
CHEMBL1075126,Pyruvate kinase PKLR,Homo sapiens,P30613,True
CHEMBL1641359,Lipoxygenase,Glycine max,Q39829,True
CHEMBL3577,Aldehyde dehydrogenase 1A1,Homo sapiens,Q5SYR1,True
CHEMBL1741194,Mitochondrial import inner membrane translocase subunit TIM10,Saccharomyces cerevisiae S288c,P87108,True
CHEMBL1741180,Mitochondrial import inner membrane translocase subunit TIM23,Saccharomyces cerevisiae S288c,P32897,True
CHEMBL227,Type-1 angiotensin II receptor,Homo sapiens,Q8TBK4,True
CHEMBL1945,Melatonin receptor type 1A,Homo sapiens,P48039,True
CHEMBL1946,Melatonin receptor type 1B,Homo sapiens,P49286,True
CHEMBL3201,Aryl hydrocarbon receptor,Homo sapiens,Q13804,True
CHEMBL3401,Nuclear receptor subfamily 1 group I member 2,Homo sapiens,Q9UNW4,True
CHEMBL3979,Peroxisome proliferator-activated receptor delta,Homo sapiens,Q9BUD4,True
CHEMBL4235,11-beta-hydroxysteroid dehydrogenase 1,Homo sapiens,P28845,True
CHEMBL1994,Mineralocorticoid receptor,Homo sapiens,Q96KQ9,True
CHEMBL1697656,Glutathione S-transferase,Plasmodium falciparum,Q95V54,True
CHEMBL2755,"Glutathione reductase, mitochondrial",Homo sapiens,Q9NP63,True
CHEMBL3902,Glutathione S-transferase P,Homo sapiens,Q5TZY3,True
CHEMBL2487,Amyloid-beta precursor protein,Homo sapiens,P05067,True
CHEMBL5339,Free fatty acid receptor 4,Homo sapiens,Q86SM7,True
CHEMBL2973,Rho-associated protein kinase 2,Homo sapiens,Q9UQN5,True
CHEMBL1075282,Dual specificity protein kinase CLK3,Mus musculus,Q8C1V1,True
CHEMBL321,Matrix metalloproteinase-9,Homo sapiens,Q9UDK2,True
CHEMBL5926,"Glyceraldehyde-3-phosphate dehydrogenase, glycosomal",Trypanosoma cruzi,P22513,True
CHEMBL4143,Calpain-2 catalytic subunit,Sus scrofa,P43367,True
CHEMBL2731,Galanin receptor type 3,Homo sapiens,Q53YJ4,True
CHEMBL2275,Sorbitol dehydrogenase,Homo sapiens,Q9UMD6,True
CHEMBL1741212,Glucose-6-phosphate dehydrogenase-6-phosphogluconolactonase,Plasmodium berghei,Q9BHT9,True
CHEMBL4894,Galanin receptor type 1,Homo sapiens,Q4VBL7,True
CHEMBL3176,Galanin receptor type 2,Homo sapiens,Q32MN8,True
CHEMBL5577,Galanin receptor type 2,Rattus norvegicus,O08726,True
CHEMBL6144,G protein-coupled receptor kinase 6,Homo sapiens,Q13652,True
CHEMBL2073709,Monocarboxylate transporter 1,Rattus norvegicus,P53987,True
CHEMBL6164,Poly [ADP-ribose] polymerase tankyrase-1,Homo sapiens,Q59FX0,True
CHEMBL1741221,Cysteine protease ATG4B,Homo sapiens,Q9Y4P1,True
CHEMBL4426,Phospholipase A2,Homo sapiens,Q3KPI1,True
CHEMBL3480,Chitin synthase 1,Candida albicans,P23316,True
CHEMBL1293287,Insulin-degrading enzyme,Homo sapiens,Q5T5N2,True
CHEMBL248,Neutrophil elastase,Homo sapiens,Q6LDP5,True
CHEMBL5373,Cannabinoid receptor 2,Mus musculus,Q544H5,True
CHEMBL5977,Galectin-2,Homo sapiens,Q6FGY4,True
CHEMBL1671608,Galectin-4,Homo sapiens,P56470,True
CHEMBL210,Beta-2 adrenergic receptor,Homo sapiens,P07550,True
CHEMBL6152,Alpha-synuclein,Homo sapiens,P37840,True
CHEMBL324,5-hydroxytryptamine receptor 2C,Rattus norvegicus,P08909,True
CHEMBL3988613,Protein-glutamine gamma-glutamyltransferase 2,Cavia cutleri,P08587,True
CHEMBL3785,Hydroxycarboxylic acid receptor 2,Homo sapiens,Q8TDS4,True
CHEMBL4766,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",Homo sapiens,Q308M4,True
CHEMBL3861,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial",Homo sapiens,Q9BS05,True
CHEMBL4999,Aldo-keto reductase family 1 member C4,Homo sapiens,Q9NS54,True
CHEMBL5905,Aldo-keto reductase family 1 member C1,Homo sapiens,Q9UCX2,True
CHEMBL5847,Aldo-keto reductase family 1 member C2,Homo sapiens,Q96A71,True
CHEMBL2246,Aldo-keto reductase family 1 member A1,Homo sapiens,Q6IAZ4,True
CHEMBL4681,Aldo-keto reductase family 1 member C3,Homo sapiens,Q9UKL9,True
CHEMBL5586,Carbonyl reductase [NADPH] 1,Homo sapiens,Q3LHW8,True
CHEMBL3681,Amine oxidase [flavin-containing] A,Mus musculus,Q8K0Z8,True
CHEMBL3351196,PA-I galactophilic lectin,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228),Q05097,True
CHEMBL3596075,"Beta-galactoside alpha-2,6-sialyltransferase 1",Homo sapiens,P15907,True
CHEMBL1293302,Female germline-specific tumor suppressor gld-1,Caenorhabditis elegans,Q17339,True
CHEMBL1293282,Protein Rev,Human immunodeficiency virus type 1 group M subtype B (isolate HXB2)(HIV-1),P04618,True
CHEMBL2758,Mannose-6-phosphate isomerase,Homo sapiens,Q96AB0,True
CHEMBL4153,Sigma non-opioid intracellular receptor 1,Cavia porcellus,Q60492,True
CHEMBL2484,Acetylcholine receptor subunit epsilon,Homo sapiens,Q04844,True
CHEMBL1250379,ELAV-like protein 1,Homo sapiens,Q9BTT1,True
CHEMBL1741186,Nuclear receptor ROR-gamma,Homo sapiens,P51449,True
CHEMBL5804,Toll-like receptor 9,Homo sapiens,Q9NYC3,True
CHEMBL1293269,NS3,Hepatitis C virus,A3EZJ3,True
CHEMBL1075145,Transitional endoplasmic reticulum ATPase,Homo sapiens,P55072,True
CHEMBL1781,DNA topoisomerase 1,Homo sapiens,Q9UJN0,True
CHEMBL1075094,Nuclear factor erythroid 2-related factor 2,Homo sapiens,Q96F71,True
CHEMBL1293304,RNA-binding protein pos-1,Caenorhabditis elegans,G5EF15,True
CHEMBL3091,Sortilin,Homo sapiens,Q99523,True
CHEMBL2243,Fatty-acid amide hydrolase 1,Homo sapiens,Q5TDF8,True
CHEMBL4801,Caspase-1,Homo sapiens,Q9UCN3,True
CHEMBL3114,"Sucrase-isomaltase, intestinal",Rattus norvegicus,P23739,True
CHEMBL4026,Signal transducer and activator of transcription 3,Homo sapiens,Q9BW54,True
CHEMBL6101,Signal transducer and activator of transcription 1-alpha/beta,Homo sapiens,Q9UDL5,True
CHEMBL3314,Chymotrypsinogen A,Bos taurus,P00766,True
CHEMBL4358,Polyunsaturated fatty acid lipoxygenase ALOX15,Oryctolagus cuniculus,P12530,True
CHEMBL1899,5-hydroxytryptamine receptor 3A,Homo sapiens,Q9BSZ9,True
CHEMBL3203,4-hydroxyphenylpyruvate dioxygenase,Sus scrofa,Q02110,True
CHEMBL2219,Tyrosine-protein phosphatase non-receptor type 7,Homo sapiens,Q9BV05,True
CHEMBL5857,Trace amine-associated receptor 1,Homo sapiens,Q96RJ0,True
CHEMBL1169595,UDP-galactose 4-epimerase,Trypanosoma brucei,Q8T8E9,True
CHEMBL6100,Autoinducer 2-binding periplasmic protein LuxP,Vibrio harveyi,P54300,True
CHEMBL2179,Lysosomal acid glucosylceramidase,Homo sapiens,Q9UMJ8,True
CHEMBL1825,Tumor necrosis factor,Homo sapiens,P01375,True
CHEMBL1293222,Nucleotide-binding oligomerization domain-containing protein 1,Homo sapiens,Q9Y239,True
CHEMBL5347,Glucose-6-phosphate 1-dehydrogenase,Homo sapiens,Q96PQ2,True
CHEMBL2189117,Polycomb protein EED,Homo sapiens,O75530,True
CHEMBL1667698,Telomere resolvase ResT,Borrelia burgdorferi (strain ATCC 35210 / B31 / CIP 102532 / DSM4680),O50979,True
CHEMBL1743122,Solute carrier family 22 member 2,Homo sapiens,Q9NQB9,True
CHEMBL5685,Solute carrier family 22 member 1,Homo sapiens,Q9NQD4,True
CHEMBL1293203,Major prion protein,Mesocricetus auratus,P04273,True
CHEMBL2499,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Mus musculus,Q0VGQ5,True
CHEMBL4512,Fatty acid synthase,Plasmodium falciparum,Q965D7,True
CHEMBL2362980,Paired box protein Pax-8,Homo sapiens,Q96J49,True
CHEMBL5848,"Oligo-1,6-glucosidase IMA1",Saccharomyces cerevisiae S288c,Q76CZ0,True
CHEMBL3569,Squalene--hopene cyclase,Alicyclobacillus acidocaldarius subsp. acidocaldarius (strain ATCC27009 / DSM 446 / 104-1A) (Bacillus acidocaldarius),P33247,True
CHEMBL2309,Potassium voltage-gated channel subfamily A member 1,Homo sapiens,Q3MIQ9,True
CHEMBL4205,Potassium voltage-gated channel subfamily A member 4,Homo sapiens,P22459,True
CHEMBL2773,Potassium voltage-gated channel subfamily A member 7,Homo sapiens,Q9BYS4,True
CHEMBL5279,Potassium voltage-gated channel subfamily A member 6,Homo sapiens,P17658,True
CHEMBL2086,Potassium voltage-gated channel subfamily A member 2,Homo sapiens,Q86XG6,True
CHEMBL4304,Calcium-activated potassium channel subunit alpha-1,Homo sapiens,Q9UQK6,True
CHEMBL4469,Small conductance calcium-activated potassium channel protein 2,Homo sapiens,Q9H2S1,True
CHEMBL2369,Small conductance calcium-activated potassium channel protein 1,Homo sapiens,Q92952,True
CHEMBL4305,Intermediate conductance calcium-activated potassium channel protein 4,Homo sapiens,Q53XR4,True
CHEMBL3050,Amine oxidase [flavin-containing] B,Mus musculus,Q8C0B2,True
CHEMBL4105758,Butyrophilin subfamily 3 member A1,Homo sapiens,Q9HCY1,True
CHEMBL3714706,Transient receptor potential cation channel subfamily M member 7,Mus musculus,Q9JLQ1,True
CHEMBL3524,Histone deacetylase 4,Homo sapiens,Q9UND6,True
CHEMBL2716,Histone deacetylase 7,Homo sapiens,Q9UFU7,True
CHEMBL4145,Histone deacetylase 9,Homo sapiens,Q9UKV0,True
CHEMBL2563,Histone deacetylase 5,Homo sapiens,Q9UQL6,True
CHEMBL4818,Potassium voltage-gated channel subfamily A member 3,Mus musculus,P16390,True
CHEMBL5936,Toll-like receptor 7,Homo sapiens,Q9NYK1,True
CHEMBL4869,Major prion protein,Homo sapiens,Q9UP19,True
CHEMBL313,Sodium-dependent serotonin transporter,Rattus norvegicus,P31652,True
CHEMBL2392,DNA polymerase beta,Homo sapiens,P06746,True
CHEMBL1293317,Muscleblind-like protein 1,Homo sapiens,Q9NR56,True
CHEMBL3431938,Glucose transporter,Leishmania mexicana,O61059,True
CHEMBL2535,"Solute carrier family 2, facilitated glucose transporter member 1",Homo sapiens,Q147X2,True
CHEMBL5113,Orexin/Hypocretin receptor type 1,Homo sapiens,Q9HBV6,True
CHEMBL3048,Nitric oxide synthase 1,Rattus norvegicus,P29476,True
CHEMBL1741185,CAAX prenyl protease 1,Saccharomyces cerevisiae S288c,P47154,True
CHEMBL6065,Dihydrofolate reductase,Mycobacterium tuberculosis,P9WNX1,True
CHEMBL202,Dihydrofolate reductase,Homo sapiens,Q6IRW8,True
CHEMBL325,Histone deacetylase 1,Homo sapiens,Q92534,True
CHEMBL1781862,Calmodulin-domain protein kinase 1,Toxoplasma gondii,Q9BJF5,True
CHEMBL3155,5-hydroxytryptamine receptor 7,Homo sapiens,Q5VX03,True
CHEMBL3085,Excitatory amino acid transporter 1,Homo sapiens,Q4JCQ8,True
CHEMBL1741203,Scavenger receptor class B member 1,Mus musculus,Q9CWJ7,True
CHEMBL338,Sodium-dependent dopamine transporter,Rattus norvegicus,P23977,True
CHEMBL2193,Arylsulfatase A,Homo sapiens,Q96CJ0,True
CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,Q09472,True
CHEMBL3414417,Histone acetyltransferase RTT109,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Q07794,True
CHEMBL4669,Histone acetyltransferase GCN5,Saccharomyces cerevisiae S288c,Q6B165,True
CHEMBL232,Alpha-1B adrenergic receptor,Homo sapiens,P35368,True
CHEMBL223,Alpha-1D adrenergic receptor,Homo sapiens,Q9NPY0,True
CHEMBL4105939,Polyketide synthase Pks13,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),I6X8D2,True
CHEMBL4550,Arachidonate 5-lipoxygenase-activating protein,Homo sapiens,Q5VV04,True
CHEMBL1293313,Leucine aminopeptidase,Plasmodium falciparum 3D7,Q8IL11,True
CHEMBL1795140,Transmembrane protease serine 2,Homo sapiens,Q9BXX1,True
CHEMBL4837,Type 1 fimbrin D-mannose specific adhesin,Escherichia coli K-12,Q2M5Z3,True
CHEMBL3797020,Lectin,Burkholderia cenocepacia (strain ATCC BAA-245 / DSM 16553 / LMG 16656/ NCTC 13227 / J2315 / CF5610) (Burkholderia cepacia (strain J2315)),B4EH87,True
CHEMBL1293296,14-3-3 protein gamma,Homo sapiens,Q9UN99,True
CHEMBL4372,Lethal factor,Bacillus anthracis,Q933F6,True
CHEMBL1829,Histone deacetylase 3,Homo sapiens,Q9UEV0,True
CHEMBL3192,Histone deacetylase 8,Homo sapiens,Q9NYH4,True
CHEMBL1865,Histone deacetylase 6,Homo sapiens,Q9UBN7,True
CHEMBL1937,Histone deacetylase 2,Homo sapiens,Q92769,True
CHEMBL3310,Histone deacetylase 11,Homo sapiens,Q9NTC9,True
CHEMBL5103,Polyamine deacetylase HDAC10,Homo sapiens,Q9UGX2,True
CHEMBL4296326,Anthrax toxin receptor 2,Homo sapiens,Q96NC7,True
CHEMBL4295521,Phosphotyrosine protein phosphatase,Mycobacterium tuberculosis,A0A045ISB3,True
CHEMBL3807,Tyrosine-protein phosphatase non-receptor type 2,Homo sapiens,Q96HR2,True
CHEMBL246,Beta-3 adrenergic receptor,Homo sapiens,Q4JFT4,True
CHEMBL4261,Hypoxia-inducible factor 1-alpha,Homo sapiens,Q9UPB1,True
CHEMBL2007625,Isocitrate dehydrogenase [NADP] cytoplasmic,Homo sapiens,Q9UKW8,True
CHEMBL2424511,3-oxoacyl-(Acyl-carrier protein) reductase,Plasmodium falciparum (isolate 3D7),Q8I2S7,True
CHEMBL1812,Pancreatic triacylglycerol lipase,Homo sapiens,Q5VSQ2,True
CHEMBL1795096,Endoribonuclease toxin MazF,Escherichia coli K-12,Q2MA50,True
CHEMBL3974,Proteinase-activated receptor 1,Homo sapiens,Q9BUN4,True
CHEMBL3308960,Alpha-amylase,Sus scrofa domesticus,Q7M328,True
CHEMBL5725151,"Pyruvate carboxylase, mitochondrial",Homo sapiens,Q16705,True
CHEMBL1801,Plasminogen,Homo sapiens,Q6PA00,True
CHEMBL3223,5-hydroxytryptamine receptor 7,Rattus norvegicus,P97936,True
CHEMBL1628477,Acid-sensing ion channel 1,Homo sapiens,Q96CV2,True
CHEMBL3268,Phosphatidylinositol 4-kinase beta,Homo sapiens,Q9UBF8,True
CHEMBL4225,Dual specificity protein kinase CLK2,Homo sapiens,Q96CQ0,True
CHEMBL265,D(1A) dopamine receptor,Rattus norvegicus,P21669,True
CHEMBL3429,Steroid hormone receptor ERR1,Homo sapiens,Q14514,True
CHEMBL3751,Steroid hormone receptor ERR2,Homo sapiens,Q9HCB4,True
CHEMBL3412,Stromelysin-3,Mus musculus,Q02853,True
CHEMBL4588,Neutrophil collagenase,Homo sapiens,Q45F99,True
CHEMBL2971,Tyrosine-protein kinase JAK2,Homo sapiens,O60674,True
CHEMBL5872,G-protein coupled estrogen receptor 1,Homo sapiens,Q99981,True
CHEMBL5619,DNA repair nuclease/redox regulator APEX1,Homo sapiens,Q99775,True
CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,Q9UMZ6,True
CHEMBL3307224,Nonstructural protein 5A,Hepatitis C virus,Q5L478,True
CHEMBL2390811,Thioredoxin reductase,Mycobacterium tuberculosis,P9WHH1,True
CHEMBL2889,Tyrosine-protein phosphatase non-receptor type 22,Homo sapiens,Q9Y2R2,True
CHEMBL4295885,Tyrosinase,Danio rerio,Q8AYA1,True
CHEMBL1868,Vascular endothelial growth factor receptor 1,Homo sapiens,Q12954,True
CHEMBL3468,Caspase-7,Homo sapiens,Q96BA0,True
CHEMBL2047,Bile acid receptor,Homo sapiens,Q96RI1,True
CHEMBL1743121,Solute carrier organic anion transporter family member 1B3,Homo sapiens,Q9NPD5,True
CHEMBL1697668,Solute carrier organic anion transporter family member 1B1,Homo sapiens,Q9Y6L6,True
CHEMBL6135,Neuraminidase,Influenza A virus,B4URF0,True
CHEMBL3275,NAD-dependent histone deacetylase SIR2,Saccharomyces cerevisiae S288c,P06700,True
CHEMBL2176778,Protein mono-ADP-ribosyltransferase PARP15,Homo sapiens,Q8N1K3,True
CHEMBL1628468,Transient receptor potential cation channel subfamily M member 5,Homo sapiens,Q9NZQ8,True
CHEMBL1741172,Large ribosomal subunit protein eL19A,Saccharomyces cerevisiae S288c,P0CX82,True
CHEMBL3616,Protein kinase C eta type,Homo sapiens,Q8NE03,True
CHEMBL4630859,Sialin,Homo sapiens,Q9UGH0,True
CHEMBL3308998,Genome polyprotein,dengue virus type 2,Q88655,True
CHEMBL5695,Intestinal-type alkaline phosphatase,Bos taurus,Q28124,True
CHEMBL1929,Xanthine dehydrogenase/oxidase,Homo sapiens,Q4PJ16,True
CHEMBL3085613,DNA gyrase subunit B,Mycobacterium smegmatis,Q59555,True
CHEMBL2069,Thromboxane A2 receptor,Homo sapiens,Q9UCY2,True
CHEMBL1293243,Mucolipin-3,Homo sapiens,Q9NV09,True
CHEMBL327,Alpha-2A adrenergic receptor,Rattus norvegicus,P22909,True
CHEMBL3737,5-hydroxytryptamine receptor 1A,Mus musculus,Q8BGS4,True
CHEMBL3774295,Lysine-specific demethylase 5B,Homo sapiens,Q9Y3Q5,True
CHEMBL5362,Sortase A,Staphylococcus aureus,Q9S446,True
CHEMBL3371,5-hydroxytryptamine receptor 6,Homo sapiens,Q5TGZ1,True
CHEMBL231,Histamine H1 receptor,Homo sapiens,Q6P9E5,True
CHEMBL225,5-hydroxytryptamine receptor 2C,Homo sapiens,Q9NP28,True
CHEMBL308,Cyclin-dependent kinase 1,Homo sapiens,P06493,True
CHEMBL6187,MecA,Staphylococcus aureus,Q7DHH4,True
CHEMBL2079849,Serine protease hepsin,Homo sapiens,P05981,True
CHEMBL5722,Ectonucleoside triphosphate diphosphohydrolase 1,Homo sapiens,Q9Y3Q9,True
CHEMBL3922,Methionine aminopeptidase 2,Homo sapiens,Q8NB11,True
CHEMBL1772932,Mitotic checkpoint serine/threonine-protein kinase BUB1,Homo sapiens,Q53QE4,True
CHEMBL1781865,Endoplasmic reticulum chaperone BiP,Homo sapiens,Q9UK02,True
CHEMBL4295757,"Stress-70 protein, mitochondrial",Homo sapiens,Q9UC56,True
CHEMBL2062348,Heat shock-related 70 kDa protein 2,Homo sapiens,Q9UE78,True
CHEMBL5460,Heat shock 70 kDa protein 1A,Homo sapiens,Q9UQM0,True
CHEMBL2424504,Lysine-specific demethylase 5A,Homo sapiens,Q86XZ1,True
CHEMBL4685,"Indoleamine 2,3-dioxygenase 1",Homo sapiens,Q540B4,True
CHEMBL4630869,Collagenase ColH,Hathewaya histolytica,Q46085,True
CHEMBL3988623,Thyrotropin releasing hormone degrading enzyme,Sus scrofa,F1SH20,True
CHEMBL4553,Thyrotropin-releasing hormone receptor,Rattus norvegicus,Q63949,True
CHEMBL2820,Coagulation factor XI,Homo sapiens,Q9Y495,True
CHEMBL244,Coagulation factor X,Homo sapiens,P00742,True
CHEMBL228,Sodium-dependent serotonin transporter,Homo sapiens,Q5EE02,True
CHEMBL222,Sodium-dependent noradrenaline transporter,Homo sapiens,Q96KH8,True
CHEMBL238,Sodium-dependent dopamine transporter,Homo sapiens,Q14996,True
CHEMBL1075093,Farnesyl pyrophosphate synthase,Rattus norvegicus,Q6GT82,True
CHEMBL3236,Tyrosine-protein phosphatase non-receptor type 12,Homo sapiens,Q86XU4,True
CHEMBL3166,Tyrosine-protein phosphatase non-receptor type 6,Homo sapiens,Q9UK67,True
CHEMBL4703,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,Homo sapiens,P67775,True
CHEMBL3243,Receptor-type tyrosine-protein phosphatase C,Homo sapiens,X6R433,True
CHEMBL3924,Dual specificity protein phosphatase 22,Homo sapiens,Q9NRW4,True
CHEMBL4523923,Probable G-protein coupled receptor 27,Homo sapiens,Q9NS67,True
CHEMBL4523345,Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6,Homo sapiens,Q9Y4E2,True
CHEMBL1293281,Epstein-Barr nuclear antigen 1,Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4),Q777E1,True
CHEMBL2331053,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3",Homo sapiens,Q5VX19,True
CHEMBL3578,"Aldehyde dehydrogenase, dimeric NADP-preferring",Homo sapiens,Q9BT37,True
CHEMBL3879827,Chromodomain Y-like protein,Homo sapiens,Q9Y424,True
CHEMBL2073682,ATP-binding cassette sub-family C member 3,Rattus norvegicus,O88563,True
CHEMBL2176846,Advanced glycosylation end product-specific receptor,Homo sapiens,V5R6A3,True
CHEMBL283,Stromelysin-1,Homo sapiens,Q6GRF8,True
CHEMBL4481,"Nitric oxide synthase, inducible",Homo sapiens,Q9UD42,True
CHEMBL5800,Falcipain 2,Plasmodium falciparum,Q9N6S8,True
CHEMBL4510,Cysteine protease falcipain-3,Plasmodium falciparum,Q9NBA7,True
CHEMBL2251,Phosphatidylinositol 4-kinase type 2-alpha,Homo sapiens,Q9NSG8,True
CHEMBL4241,Squalene monooxygenase,Rattus norvegicus,Q4V8L3,True
CHEMBL3713355,Polypeptide N-acetylgalactosaminyltransferase 2,Homo sapiens,Q9NPY4,True
CHEMBL4523371,Polypeptide N-acetylgalactosaminyltransferase 10,Homo sapiens,Q9Y4M4,True
CHEMBL4523427,Polypeptide N-acetylgalactosaminyltransferase 14,Homo sapiens,Q9H9J8,True
CHEMBL4523291,Polypeptide N-acetylgalactosaminyltransferase 3,Homo sapiens,Q7Z476,True
CHEMBL4523400,Polypeptide N-acetylgalactosaminyltransferase 6,Homo sapiens,Q9UIV5,True
CHEMBL4523282,Polypeptide N-acetylgalactosaminyltransferase 1,Homo sapiens,Q9UM86,True
CHEMBL4523392,Polypeptide N-acetylgalactosaminyltransferase 13,Homo sapiens,Q9UIE5,True
CHEMBL2424510,E3 ubiquitin-protein ligase UHRF1,Homo sapiens,Q9P1U7,True
CHEMBL3663,Growth factor receptor-bound protein 2,Homo sapiens,P62993,True
CHEMBL5393,Broad substrate specificity ATP-binding cassette transporter ABCG2,Homo sapiens,Q9UNQ0,True
CHEMBL3116,Cyclin-dependent kinase 9,Homo sapiens,Q96TF1,True
CHEMBL5792,Cytochrome P450 3A43,Homo sapiens,Q9HB57,True
CHEMBL1838,Chromaffin granule amine transporter,Homo sapiens,Q9BRE4,True
CHEMBL1893,Synaptic vesicular amine transporter,Homo sapiens,Q9H3P6,True
CHEMBL4042,Prostaglandin G/H synthase 1,Rattus norvegicus,Q63921,True
CHEMBL3091269,NAD(P)H dehydrogenase [quinone] 1,Rattus norvegicus,Q63478,True
CHEMBL2232,Proprotein convertase subtilisin/kexin type 7,Homo sapiens,Q9UL57,True
CHEMBL4040,Mitogen-activated protein kinase 1,Homo sapiens,P28482,True
CHEMBL6020,Bile salt export pump,Homo sapiens,Q9UNB2,True
CHEMBL2150835,Enoyl-[acyl-carrier-protein] reductase [NADH],Francisella tularensis subsp. tularensis (strain SCHU S4 / Schu 4),Q5NGQ3,True
CHEMBL6086,ATP phosphoribosyltransferase,Mycobacterium tuberculosis,P9WMN1,True
CHEMBL1169598,Polymerase acidic protein,Influenza A virus (A/Puerto Rico/8/1934(H1N1)),Q8JUU6,True
CHEMBL4680034,5'-nucleotidase,Mus musculus,Q61503,True
CHEMBL5542,DNA polymerase eta,Homo sapiens,Q9Y253,True
CHEMBL5391,DNA polymerase iota,Homo sapiens,Q9UNA4,True
CHEMBL1293258,Mothers against decapentaplegic homolog 3,Homo sapiens,P84022,True
CHEMBL1957,Insulin-like growth factor 1 receptor,Homo sapiens,Q9UCC0,True
CHEMBL4128,Angiopoietin-1 receptor,Homo sapiens,Q8IV34,True
CHEMBL1641347,Solute carrier family 22 member 6,Homo sapiens,Q9UEQ8,True
CHEMBL1981,Insulin receptor,Homo sapiens,P06213,True
CHEMBL4739681,Ectonucleoside triphosphate diphosphohydrolase 1,Mus musculus,P55772,True
CHEMBL5784,NUAK family SNF1-like kinase 1,Homo sapiens,Q96KA8,True
CHEMBL1293308,Likely tRNA 2'-phosphotransferase,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),Q5A7N4,True
CHEMBL4105924,ELAV-like protein 3,Homo sapiens,Q96QS9,True
CHEMBL4394,Sphingosine kinase 1,Homo sapiens,Q9NYL3,True
CHEMBL1955,Vascular endothelial growth factor receptor 3,Homo sapiens,Q86W08,True
CHEMBL5147,Ephrin type-B receptor 4,Homo sapiens,Q9BXP0,True
CHEMBL4899,Mitogen-activated protein kinase kinase kinase 8,Homo sapiens,Q9HC81,True
CHEMBL4722,Aurora kinase A,Homo sapiens,O14965,True
CHEMBL2185,Aurora kinase B,Homo sapiens,Q9UQ46,True
CHEMBL4363,Tyrosine-protein kinase Lyn,Rattus norvegicus,Q63320,True
CHEMBL3788,Serine/threonine-protein kinase PLK4,Homo sapiens,Q9UDE2,True
CHEMBL2695,Focal adhesion kinase 1,Homo sapiens,Q9UD85,True
CHEMBL4282,RAC-alpha serine/threonine-protein kinase,Homo sapiens,P31749,True
CHEMBL3024,Serine/threonine-protein kinase PLK1,Homo sapiens,P53350,True
CHEMBL4524025,Translin-associated protein X,Homo sapiens,Q99598,True
CHEMBL4364,Tyrosine-protein kinase SYK,Rattus norvegicus,Q64725,True
CHEMBL4362,Tyrosine-protein kinase Fgr,Rattus norvegicus,Q6P6U0,True
CHEMBL2409,Bifunctional epoxide hydrolase 2,Homo sapiens,P34913,True
CHEMBL5406,Histone-arginine methyltransferase CARM1,Homo sapiens,Q86X55,True
CHEMBL1275223,Heat shock cognate 71 kDa protein,Homo sapiens,Q9H3R6,True
CHEMBL1287617,UDP-glucuronosyltransferase 1A1,Homo sapiens,P22309,True
CHEMBL2964,Dual specificity mitogen-activated protein kinase kinase 2,Homo sapiens,P36507,True
CHEMBL4948,Dual specificity mitogen-activated protein kinase kinase 5,Homo sapiens,Q92962,True
CHEMBL3542436,Cytochrome P450 2A13,Homo sapiens,Q9H2X2,True
CHEMBL254,"3',5'-cyclic-AMP phosphodiesterase 4A",Homo sapiens,Q9H3H2,True
