target_chembl_id,target_name,target_organism,organism_group,uniprot_accession,target_family,record_count,unique_compounds,endpoint_types,dominant_endpoint,endpoint_homogeneity,doi_count,year_min,year_max,pchembl_min,pchembl_max,pchembl_range
CHEMBL324,5-hydroxytryptamine receptor 2C,Rattus norvegicus,Non-human,P08909,G protein-coupled receptors,11,11,IC50; Ki,Ki,0.5454545454545454,1,2013,2015,5.72,7.92,2.2
CHEMBL4333,Sphingosine 1-phosphate receptor 1,Homo sapiens,Human,Q9NYN8,G protein-coupled receptors,11,11,EC50,EC50,1.0,0,2017,2017,4.03,8.51,4.4799999999999995
CHEMBL5339,Free fatty acid receptor 4,Homo sapiens,Human,Q86SM7,G protein-coupled receptors,10,10,EC50,EC50,1.0,1,2022,2022,5.36,6.82,1.46
CHEMBL319,Alpha-1A adrenergic receptor,Rattus norvegicus,Non-human,P43140,G protein-coupled receptors,8,8,Kd,Kd,1.0,1,2003,2003,6.45,9.07,2.62
CHEMBL229,Alpha-1A adrenergic receptor,Homo sapiens,Human,Q9UD67,G protein-coupled receptors,11,7,AC50; IC50; Kd; Ki,Ki,0.45454545454545453,4,2013,2023,5.0,9.52,4.52
CHEMBL1945,Melatonin receptor type 1A,Homo sapiens,Human,P48039,G protein-coupled receptors,10,7,EC50; Ki,Ki,0.8,3,2015,2022,5.28,9.35,4.069999999999999
CHEMBL1899,5-hydroxytryptamine receptor 3A,Homo sapiens,Human,Q9BSZ9,G protein-coupled receptors,6,6,Ki,Ki,1.0,1,2012,2012,5.89,8.72,2.830000000000001
CHEMBL3230,Sphingosine 1-phosphate receptor 4,Homo sapiens,Human,O95977,G protein-coupled receptors,6,6,EC50,EC50,1.0,0,,,4.43,6.11,1.6800000000000006
CHEMBL326,Alpha-1D adrenergic receptor,Rattus norvegicus,Non-human,Q71UM4,G protein-coupled receptors,6,6,IC50,IC50,1.0,1,2006,2006,4.02,4.98,0.9600000000000009
CHEMBL3785,Hydroxycarboxylic acid receptor 2,Homo sapiens,Human,Q8TDS4,G protein-coupled receptors,14,5,EC50,EC50,1.0,1,2018,2018,5.77,7.97,2.2
CHEMBL210,Beta-2 adrenergic receptor,Homo sapiens,Human,P07550,G protein-coupled receptors,5,5,Kd,Kd,1.0,1,2023,2023,5.18,5.94,0.7600000000000007
CHEMBL5857,Trace amine-associated receptor 1,Homo sapiens,Human,Q96RJ0,G protein-coupled receptors,6,3,EC50; IC50,IC50,0.5,0,,,4.88,5.73,0.8500000000000005
CHEMBL2955,Sphingosine 1-phosphate receptor 2,Homo sapiens,Human,Q86UN8,G protein-coupled receptors,4,3,EC50; IC50,IC50,0.5,0,,,5.36,5.7,0.33999999999999986
CHEMBL2010631,Atypical chemokine receptor 3,Homo sapiens,Human,Q92986,G protein-coupled receptors,3,3,IC50,IC50,1.0,1,2013,2013,5.1,5.89,0.79
CHEMBL213,Beta-1 adrenergic receptor,Homo sapiens,Human,Q9UKG8,G protein-coupled receptors,3,3,Kd,Kd,1.0,1,2023,2023,5.25,5.62,0.3700000000000001
CHEMBL237,Kappa-type opioid receptor,Homo sapiens,Human,Q499G4,G protein-coupled receptors,3,3,EC50; IC50; Ki,IC50,0.3333333333333333,1,2008,2008,4.74,5.58,0.8399999999999999
CHEMBL4123,Neurotensin receptor type 1,Homo sapiens,Human,Q9H4T5,G protein-coupled receptors,3,3,EC50,EC50,1.0,0,,,4.75,4.83,0.08000000000000007
CHEMBL5373,Cannabinoid receptor 2,Mus musculus,Non-human,Q544H5,G protein-coupled receptors,3,3,Ki,Ki,1.0,1,2007,2007,8.17,9.09,0.9199999999999999
CHEMBL1946,Melatonin receptor type 1B,Homo sapiens,Human,P49286,G protein-coupled receptors,5,2,EC50; Ki,Ki,0.6,2,2015,2022,7.47,9.19,1.7199999999999998
CHEMBL223,Alpha-1D adrenergic receptor,Homo sapiens,Human,Q9NPY0,G protein-coupled receptors,4,2,IC50; Ki,Ki,0.5,1,2015,2015,7.34,9.4,2.0600000000000005
CHEMBL232,Alpha-1B adrenergic receptor,Homo sapiens,Human,P35368,G protein-coupled receptors,4,2,IC50; Ki,Ki,0.5,1,2015,2015,7.28,10.0,2.7199999999999998
CHEMBL225,5-hydroxytryptamine receptor 2C,Homo sapiens,Human,Q9NP28,G protein-coupled receptors,3,2,IC50; Ki,Ki,0.6666666666666666,1,2021,2021,5.63,5.91,0.28000000000000025
CHEMBL227,Type-1 angiotensin II receptor,Homo sapiens,Human,Q8TBK4,G protein-coupled receptors,2,2,IC50,IC50,1.0,0,,,4.86,4.98,0.1200000000000001
CHEMBL246,Beta-3 adrenergic receptor,Homo sapiens,Human,Q4JFT4,G protein-coupled receptors,2,2,Kd,Kd,1.0,1,2023,2023,5.59,5.93,0.33999999999999986
CHEMBL2731,Galanin receptor type 3,Homo sapiens,Human,Q53YJ4,G protein-coupled receptors,2,2,IC50,IC50,1.0,0,,,4.89,5.24,0.35000000000000053
CHEMBL3155,5-hydroxytryptamine receptor 7,Homo sapiens,Human,Q5VX03,G protein-coupled receptors,2,2,Ki,Ki,1.0,1,2020,2020,7.37,7.58,0.20999999999999996
CHEMBL3223,5-hydroxytryptamine receptor 7,Rattus norvegicus,Non-human,P97936,G protein-coupled receptors,2,2,Ki,Ki,1.0,1,2001,2001,5.83,6.55,0.7199999999999998
CHEMBL4477,Metabotropic glutamate receptor 1,Rattus norvegicus,Non-human,P23385,G protein-coupled receptors,2,2,IC50,IC50,1.0,1,2009,2009,4.62,4.62,0.0
CHEMBL4894,Galanin receptor type 1,Homo sapiens,Human,Q4VBL7,G protein-coupled receptors,2,1,Kd; Ki,Ki,0.5,2,2008,2010,4.92,4.93,0.009999999999999787
CHEMBL231,Histamine H1 receptor,Homo sapiens,Human,Q6P9E5,G protein-coupled receptors,1,1,Ki,Ki,1.0,1,2021,2021,5.95,5.95,0.0
CHEMBL265,D(1A) dopamine receptor,Rattus norvegicus,Non-human,P21669,G protein-coupled receptors,1,1,Ki,Ki,1.0,1,2008,2008,5.85,5.85,0.0
CHEMBL274,C-C chemokine receptor type 5,Homo sapiens,Human,Q9UPA4,G protein-coupled receptors,1,1,IC50,IC50,1.0,1,2017,2017,5.89,5.89,0.0
CHEMBL3176,Galanin receptor type 2,Homo sapiens,Human,Q32MN8,G protein-coupled receptors,1,1,Kd,Kd,1.0,1,2008,2008,4.62,4.62,0.0
CHEMBL327,Alpha-2A adrenergic receptor,Rattus norvegicus,Non-human,P22909,G protein-coupled receptors,1,1,Ki,Ki,1.0,1,1999,1999,5.57,5.57,0.0
CHEMBL3371,5-hydroxytryptamine receptor 6,Homo sapiens,Human,Q5TGZ1,G protein-coupled receptors,1,1,Ki,Ki,1.0,1,2021,2021,6.64,6.64,0.0
CHEMBL3737,5-hydroxytryptamine receptor 1A,Mus musculus,Non-human,Q8BGS4,G protein-coupled receptors,1,1,Ki,Ki,1.0,1,1999,1999,5.43,5.43,0.0
CHEMBL4018,Neuropeptide Y receptor type 2,Homo sapiens,Human,Q9UE67,G protein-coupled receptors,1,1,IC50,IC50,1.0,0,,,5.3,5.3,0.0
CHEMBL4153,Sigma non-opioid intracellular receptor 1,Cavia porcellus,Non-human,Q60492,G protein-coupled receptors,1,1,Ki,Ki,1.0,1,2014,2014,6.63,6.63,0.0
CHEMBL4523923,Probable G-protein coupled receptor 27,Homo sapiens,Human,Q9NS67,G protein-coupled receptors,1,1,EC50,EC50,1.0,1,2021,2021,5.11,5.11,0.0
CHEMBL4777,Neuropeptide Y receptor type 1,Homo sapiens,Human,P25929,G protein-coupled receptors,1,1,IC50,IC50,1.0,0,,,5.23,5.23,0.0
CHEMBL5071,Prostaglandin D2 receptor 2,Homo sapiens,Human,Q9Y5Y4,G protein-coupled receptors,1,1,Ki,Ki,1.0,1,2012,2012,7.5,7.5,0.0
CHEMBL5577,Galanin receptor type 2,Rattus norvegicus,Non-human,O08726,G protein-coupled receptors,1,1,Ki,Ki,1.0,1,2010,2010,4.47,4.47,0.0
CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,Non-human,Q72874,Proteases,86,74,IC50; Ki,IC50,0.813953488372093,14,1994,2023,4.05,11.0,6.95
CHEMBL4822,Beta-secretase 1,Homo sapiens,Human,P56817,Proteases,65,45,IC50; Ki,IC50,0.8923076923076924,11,2006,2022,4.0,7.03,3.0300000000000002
CHEMBL4117,Aminopeptidase N,Plasmodium falciparum FcB1/Columbia,Non-human,Q8IEK1,Proteases,43,43,IC50,IC50,1.0,0,,,4.13,5.01,0.8799999999999999
CHEMBL2821,Coagulation factor XII,Homo sapiens,Human,P78339,Proteases,43,40,IC50; Ki,IC50,0.7441860465116279,5,2008,2023,4.38,7.21,2.83
CHEMBL5939,Endoplasmic reticulum aminopeptidase 1,Homo sapiens,Human,Q9UKY2,Proteases,37,37,AC50,AC50,1.0,0,,,4.9,5.84,0.9399999999999995
CHEMBL3706,Disintegrin and metalloproteinase domain-containing protein 17,Homo sapiens,Human,P78536,Proteases,37,23,IC50,IC50,1.0,3,1999,2010,4.91,9.57,4.66
CHEMBL5620,Proteasome subunit beta type-8,Homo sapiens,Human,Q96J48,Proteases,18,16,IC50,IC50,1.0,2,2019,2019,5.74,8.05,2.3100000000000005
CHEMBL2366,Trypsin,Sus scrofa,Non-human,P00761,Proteases,16,16,AC50; IC50,AC50,0.9375,0,2015,2015,4.62,5.82,1.2000000000000002
CHEMBL1250413,CAAX prenyl protease 2,Saccharomyces cerevisiae S288c,Non-human,Q03530,Proteases,15,15,AC50,AC50,1.0,0,,,4.38,5.02,0.6399999999999997
CHEMBL3411,CAAX prenyl protease 2,Homo sapiens,Human,Q9Y256,Proteases,12,12,AC50,AC50,1.0,0,,,4.01,6.12,2.1100000000000003
CHEMBL284,Dipeptidyl peptidase 4,Homo sapiens,Human,Q53TN1,Proteases,13,10,IC50,IC50,1.0,3,2011,2021,4.06,6.81,2.75
CHEMBL204,Prothrombin,Homo sapiens,Human,P00734,Proteases,10,10,IC50; Ki,IC50,0.8,5,2005,2023,4.32,7.0,2.6799999999999997
CHEMBL2334,Caspase-3,Homo sapiens,Human,P42574,Proteases,10,10,AC50; EC50; IC50,IC50,0.8,2,2005,2010,4.42,6.02,1.5999999999999996
CHEMBL2366517,Protease,Human immunodeficiency virus 1,Non-human,Q9YQ12,Proteases,10,10,IC50,IC50,1.0,1,2013,2013,4.46,4.67,0.20999999999999996
CHEMBL333,72 kDa type IV collagenase,Homo sapiens,Human,Q9UCJ8,Proteases,9,9,IC50; Ki,IC50,0.8888888888888888,3,1999,2012,4.17,7.0,2.83
CHEMBL1795093,Apoptotic protease-activating factor 1,Homo sapiens,Human,Q9UNC9,Proteases,8,7,IC50,IC50,1.0,0,,,4.05,5.51,1.46
CHEMBL280,Collagenase 3,Homo sapiens,Human,Q6NWN6,Proteases,7,7,IC50,IC50,1.0,1,2012,2012,4.85,5.58,0.7300000000000004
CHEMBL321,Matrix metalloproteinase-9,Homo sapiens,Human,Q9UDK2,Proteases,7,7,IC50; Ki,IC50,0.8571428571428571,3,1999,2010,4.61,6.96,2.3499999999999996
CHEMBL3314,Chymotrypsinogen A,Bos taurus,Non-human,P00766,Proteases,7,7,Ki,Ki,1.0,1,1996,1996,4.23,6.6,2.369999999999999
CHEMBL4143,Calpain-2 catalytic subunit,Sus scrofa,Non-human,P43367,Proteases,7,7,IC50,IC50,1.0,0,,,4.31,5.51,1.2000000000000002
CHEMBL1741221,Cysteine protease ATG4B,Homo sapiens,Human,Q9Y4P1,Proteases,7,6,IC50,IC50,1.0,3,2016,2021,4.69,6.06,1.3699999999999992
CHEMBL2443,Kallikrein-7,Homo sapiens,Human,Q8NFV7,Proteases,6,6,EC50,EC50,1.0,0,,,4.16,5.29,1.13
CHEMBL3308,Caspase-6,Homo sapiens,Human,Q9BQE7,Proteases,6,6,AC50,AC50,1.0,0,,,4.66,5.86,1.2000000000000002
CHEMBL4471,Prothrombin,Bos taurus,Non-human,Q3MHK7,Proteases,6,6,IC50,IC50,1.0,1,1980,1980,4.04,6.0,1.96
CHEMBL1741207,Sentrin-specific protease 8,Homo sapiens,Human,Q96QA4,Proteases,6,5,IC50,IC50,1.0,0,,,4.49,6.22,1.7299999999999995
CHEMBL1741185,CAAX prenyl protease 1,Saccharomyces cerevisiae S288c,Non-human,P47154,Proteases,5,5,AC50,AC50,1.0,0,,,4.9,5.54,0.6399999999999997
CHEMBL1741213,Sentrin-specific protease 7,Homo sapiens,Human,Q9HBT5,Proteases,5,5,IC50,IC50,1.0,0,,,4.54,6.02,1.4799999999999995
CHEMBL1741215,Sentrin-specific protease 6,Homo sapiens,Human,Q9UJV5,Proteases,5,5,IC50,IC50,1.0,0,,,4.5,5.9,1.4000000000000004
CHEMBL2007629,26S proteasome non-ATPase regulatory subunit 14,Homo sapiens,Human,O00487,Proteases,4,4,IC50,IC50,1.0,0,,,4.24,5.0,0.7599999999999998
CHEMBL1293313,Leucine aminopeptidase,Plasmodium falciparum 3D7,Non-human,Q8IL11,Proteases,3,3,IC50,IC50,1.0,0,,,4.02,5.3,1.2800000000000002
CHEMBL268,Cathepsin K,Homo sapiens,Human,Q6FHS6,Proteases,3,3,IC50; Ki,Ki,0.6666666666666666,2,2012,2013,5.34,7.72,2.38
CHEMBL3563,Cruzipain,Trypanosoma cruzi,Non-human,P25779,Proteases,3,2,IC50,IC50,1.0,1,2008,2008,4.05,4.19,0.14000000000000057
CHEMBL1293307,3C-like protease,Infectious bronchitis virus,Non-human,Q3Y5H1,Proteases,2,2,IC50,IC50,1.0,0,,,5.48,5.53,0.04999999999999982
CHEMBL2954,Cathepsin S,Homo sapiens,Human,Q9BUG3,Proteases,2,2,Ki,Ki,1.0,1,2012,2012,5.08,6.12,1.04
CHEMBL3468,Caspase-7,Homo sapiens,Human,Q96BA0,Proteases,2,2,AC50; EC50,AC50,0.5,0,,,4.22,4.7,0.4800000000000004
CHEMBL3869,Matrix metalloproteinase-14,Homo sapiens,Human,Q92678,Proteases,2,2,IC50; Ki,IC50,0.5,2,1999,2012,4.29,6.66,2.37
CHEMBL3922,Methionine aminopeptidase 2,Homo sapiens,Human,Q8NB11,Proteases,2,2,IC50,IC50,1.0,0,2018,2018,6.4,6.72,0.3199999999999994
CHEMBL4662,Proteasome Macropain subunit MB1,Homo sapiens,Human,Q9TNN9,Proteases,2,2,IC50,IC50,1.0,1,2019,2019,5.97,6.66,0.6900000000000004
CHEMBL3974,Proteinase-activated receptor 1,Homo sapiens,Human,Q9BUN4,Proteases,2,1,IC50,IC50,1.0,1,1996,1996,4.66,5.36,0.7000000000000002
CHEMBL1795140,Transmembrane protease serine 2,Homo sapiens,Human,Q9BXX1,Proteases,1,1,IC50,IC50,1.0,1,2024,2024,8.38,8.38,0.0
CHEMBL2079849,Serine protease hepsin,Homo sapiens,Human,P05981,Proteases,1,1,IC50,IC50,1.0,0,2015,2015,6.01,6.01,0.0
CHEMBL244,Coagulation factor X,Homo sapiens,Human,P00742,Proteases,1,1,Ki,Ki,1.0,1,2023,2023,4.88,4.88,0.0
CHEMBL248,Neutrophil elastase,Homo sapiens,Human,Q6LDP5,Proteases,1,1,Ki,Ki,1.0,1,1995,1995,10.05,10.05,0.0
CHEMBL2820,Coagulation factor XI,Homo sapiens,Human,Q9Y495,Proteases,1,1,Ki,Ki,1.0,1,2023,2023,5.06,5.06,0.0
CHEMBL4072,Cathepsin B,Homo sapiens,Human,Q96D87,Proteases,1,1,Ki,Ki,1.0,1,2012,2012,6.85,6.85,0.0
CHEMBL4510,Cysteine protease falcipain-3,Plasmodium falciparum,Non-human,Q9NBA7,Proteases,1,1,IC50,IC50,1.0,1,2004,2004,4.86,4.86,0.0
CHEMBL4588,Neutrophil collagenase,Homo sapiens,Human,Q45F99,Proteases,1,1,Ki,Ki,1.0,1,1999,1999,7.77,7.77,0.0
CHEMBL4630869,Collagenase ColH,Hathewaya histolytica,Non-human,Q46085,Proteases,1,1,IC50,IC50,1.0,1,2022,2022,7.62,7.62,0.0
CHEMBL4801,Caspase-1,Homo sapiens,Human,Q9UCN3,Proteases,1,1,IC50,IC50,1.0,1,2000,2000,7.77,7.77,0.0
CHEMBL3356,Cytochrome P450 1A2,Homo sapiens,Human,Q9UK49,Cytochrome P450s,101,97,AC50; IC50; Ki,AC50,0.7920792079207921,6,2009,2023,4.4,8.1,3.6999999999999993
CHEMBL340,Cytochrome P450 3A4,Homo sapiens,Human,P08684,Cytochrome P450s,84,76,AC50; IC50; Ki,AC50,0.5714285714285714,12,2005,2023,4.23,7.19,2.96
CHEMBL3622,Cytochrome P450 2C19,Homo sapiens,Human,Q9UCD4,Cytochrome P450s,72,70,AC50; IC50,AC50,0.8888888888888888,6,2009,2023,4.21,7.2,2.99
CHEMBL3397,Cytochrome P450 2C9,Homo sapiens,Human,Q8WW80,Cytochrome P450s,79,68,AC50; IC50; Ki,AC50,0.6582278481012658,9,2000,2023,4.02,8.25,4.23
CHEMBL289,Cytochrome P450 2D6,Homo sapiens,Human,Q6NXU8,Cytochrome P450s,29,28,AC50; IC50,AC50,0.7586206896551724,6,2003,2023,4.13,7.3,3.17
CHEMBL5282,Cytochrome P450 2A6,Homo sapiens,Human,Q9UK48,Cytochrome P450s,41,27,IC50; Kd; Ki,Ki,0.7804878048780488,4,2005,2023,4.57,10.24,5.67
CHEMBL1908,"Cytochrome P450 11B1, mitochondrial",Homo sapiens,Human,Q9UML2,Cytochrome P450s,22,21,IC50,IC50,1.0,2,2011,2015,6.03,8.3,2.2700000000000005
CHEMBL2722,"Cytochrome P450 11B2, mitochondrial",Homo sapiens,Human,Q16726,Cytochrome P450s,22,21,IC50,IC50,1.0,2,2011,2015,5.66,7.11,1.4500000000000002
CHEMBL4878,Cytochrome P450 1B1,Homo sapiens,Human,Q9H316,Cytochrome P450s,16,15,IC50; Ki,Ki,0.8125,3,2015,2018,4.33,6.66,2.33
CHEMBL2231,Cytochrome P450 1A1,Homo sapiens,Human,Q53G18,Cytochrome P450s,16,12,EC50; IC50; Ki,Ki,0.6875,3,2015,2022,4.22,7.92,3.7
CHEMBL4729,Cytochrome P450 2B6,Homo sapiens,Human,Q9UK46,Cytochrome P450s,2,2,IC50; Ki,Ki,0.5,1,2005,2022,4.06,5.28,1.2200000000000006
CHEMBL5281,Cytochrome P450 2E1,Homo sapiens,Human,Q9UK47,Cytochrome P450s,2,2,IC50; Ki,Ki,0.5,2,2005,2009,4.4,5.3,0.8999999999999995
CHEMBL3542436,Cytochrome P450 2A13,Homo sapiens,Human,Q9H2X2,Cytochrome P450s,2,1,Kd; Ki,Ki,0.5,1,2012,2012,5.8,7.4,1.6000000000000005
CHEMBL1743542,Cytochrome P450 2B4,Oryctolagus cuniculus,Non-human,P00178,Cytochrome P450s,1,1,Ki,Ki,1.0,1,2005,2005,5.55,5.55,0.0
CHEMBL3019,Cytochrome P450 3A5,Homo sapiens,Human,Q9HB56,Cytochrome P450s,1,1,Ki,Ki,1.0,1,2005,2005,4.7,4.7,0.0
CHEMBL3335,Cytochrome P450 2B1,Rattus norvegicus,Non-human,Q64584,Cytochrome P450s,1,1,Ki,Ki,1.0,1,2005,2005,5.62,5.62,0.0
CHEMBL5792,Cytochrome P450 3A43,Homo sapiens,Human,Q9HB57,Cytochrome P450s,1,1,IC50,IC50,1.0,0,2022,2022,5.03,5.03,0.0
CHEMBL4633,Potassium voltage-gated channel subfamily A member 3,Homo sapiens,Human,Q6P2D3,Ion channels and transporters,121,81,EC50; IC50,IC50,0.6363636363636364,7,2006,2023,5.22,8.7,3.4799999999999995
CHEMBL4306,Potassium voltage-gated channel subfamily A member 5,Homo sapiens,Human,Q9UDA4,Ion channels and transporters,37,35,EC50; IC50,EC50,0.918918918918919,3,2006,2023,4.92,8.11,3.1899999999999995
CHEMBL4302,ATP-dependent translocase ABCB1,Homo sapiens,Human,Q14812,Ion channels and transporters,31,31,IC50,IC50,1.0,5,2014,2020,4.36,7.16,2.8
CHEMBL4523503,Chloride anion exchanger,Mus musculus,Non-human,Q9WVC8,Ion channels and transporters,50,29,IC50,IC50,1.0,1,2019,2021,4.75,7.64,2.8899999999999997
CHEMBL4523223,Chloride anion exchanger,Homo sapiens,Human,P40879,Ion channels and transporters,22,20,IC50,IC50,1.0,1,2021,2024,6.05,7.6,1.5499999999999998
CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,Human,Q9H3P0,Ion channels and transporters,15,14,AC50; EC50; IC50; Ki,IC50,0.8,7,2005,2023,4.29,7.51,3.2199999999999998
CHEMBL3004,Multidrug resistance-associated protein 1,Homo sapiens,Human,Q9UQA0,Ion channels and transporters,13,13,IC50,IC50,1.0,1,2019,2019,4.14,5.44,1.3000000000000007
CHEMBL2073663,Monocarboxylate transporter 4,Homo sapiens,Human,Q2M1P8,Ion channels and transporters,11,9,IC50,IC50,1.0,1,2013,2013,5.1,8.0,2.9000000000000004
CHEMBL2073709,Monocarboxylate transporter 1,Rattus norvegicus,Non-human,P53987,Ion channels and transporters,13,8,IC50,IC50,1.0,1,2016,2016,6.04,7.32,1.2800000000000002
CHEMBL313,Sodium-dependent serotonin transporter,Rattus norvegicus,Non-human,P31652,Ion channels and transporters,6,6,IC50; Ki,IC50,0.6666666666666666,3,2004,2016,5.82,9.15,3.33
CHEMBL2086,Potassium voltage-gated channel subfamily A member 2,Homo sapiens,Human,Q86XG6,Ion channels and transporters,5,4,EC50; IC50; Kd,Kd,0.6,2,1998,2017,4.39,6.6,2.21
CHEMBL2309,Potassium voltage-gated channel subfamily A member 1,Homo sapiens,Human,Q3MIQ9,Ion channels and transporters,5,4,EC50; IC50; Kd,EC50,0.6,2,1998,2017,4.25,7.19,2.9400000000000004
CHEMBL5287,Hepatic sodium/bile acid cotransporter,Homo sapiens,Human,Q2TU29,Ion channels and transporters,4,4,IC50,IC50,1.0,1,2022,2022,4.75,4.9,0.15000000000000036
CHEMBL4818,Potassium voltage-gated channel subfamily A member 3,Mus musculus,Non-human,P16390,Ion channels and transporters,3,3,Kd,Kd,1.0,1,1998,1998,4.05,4.55,0.5
CHEMBL3085,Excitatory amino acid transporter 1,Homo sapiens,Human,Q4JCQ8,Ion channels and transporters,4,2,IC50,IC50,1.0,1,2012,2012,4.77,4.85,0.08000000000000007
CHEMBL4205,Potassium voltage-gated channel subfamily A member 4,Homo sapiens,Human,P22459,Ion channels and transporters,3,2,EC50; IC50,EC50,0.6666666666666666,1,2006,2017,6.3,7.12,0.8200000000000003
CHEMBL4360,Monocarboxylate transporter 1,Homo sapiens,Human,Q9NSJ9,Ion channels and transporters,3,2,IC50,IC50,1.0,2,2024,2024,6.07,7.23,1.1600000000000001
CHEMBL1075108,Solute carrier family 12 member 5,Rattus norvegicus,Non-human,Q63633,Ion channels and transporters,2,2,IC50,IC50,1.0,1,2012,2012,5.4,6.22,0.8199999999999994
CHEMBL238,Sodium-dependent dopamine transporter,Homo sapiens,Human,Q14996,Ion channels and transporters,2,2,AC50; IC50,IC50,0.5,2,2018,2023,4.74,6.82,2.08
CHEMBL2484,Acetylcholine receptor subunit epsilon,Homo sapiens,Human,Q04844,Ion channels and transporters,2,2,IC50,IC50,1.0,1,2019,2019,7.57,8.22,0.6500000000000004
CHEMBL338,Sodium-dependent dopamine transporter,Rattus norvegicus,Non-human,P23977,Ion channels and transporters,2,2,IC50,IC50,1.0,1,2016,2016,7.16,8.0,0.8399999999999999
CHEMBL1628477,Acid-sensing ion channel 1,Homo sapiens,Human,Q96CV2,Ion channels and transporters,2,1,IC50,IC50,1.0,1,2015,2015,5.13,7.56,2.4299999999999997
CHEMBL1697668,Solute carrier organic anion transporter family member 1B1,Homo sapiens,Human,Q9Y6L6,Ion channels and transporters,2,1,IC50; Ki,Ki,0.5,1,2013,2013,5.97,6.23,0.2600000000000007
CHEMBL1743121,Solute carrier organic anion transporter family member 1B3,Homo sapiens,Human,Q9NPD5,Ion channels and transporters,2,1,IC50; Ki,Ki,0.5,1,2013,2013,6.13,6.25,0.1200000000000001
CHEMBL4305,Intermediate conductance calcium-activated potassium channel protein 4,Homo sapiens,Human,Q53XR4,Ion channels and transporters,2,1,EC50; IC50,IC50,0.5,1,2006,2009,5.0,5.0,0.0
CHEMBL1628468,Transient receptor potential cation channel subfamily M member 5,Homo sapiens,Human,Q9NZQ8,Ion channels and transporters,1,1,EC50,EC50,1.0,1,2022,2022,4.57,4.57,0.0
CHEMBL1641347,Solute carrier family 22 member 6,Homo sapiens,Human,Q9UEQ8,Ion channels and transporters,1,1,IC50,IC50,1.0,1,2005,2005,6.57,6.57,0.0
CHEMBL1743122,Solute carrier family 22 member 2,Homo sapiens,Human,Q9NQB9,Ion channels and transporters,1,1,IC50,IC50,1.0,1,2023,2023,4.76,4.76,0.0
CHEMBL1838,Chromaffin granule amine transporter,Homo sapiens,Human,Q9BRE4,Ion channels and transporters,1,1,EC50,EC50,1.0,1,2022,2022,5.7,5.7,0.0
CHEMBL1893,Synaptic vesicular amine transporter,Homo sapiens,Human,Q9H3P6,Ion channels and transporters,1,1,EC50,EC50,1.0,1,2022,2022,5.45,5.45,0.0
CHEMBL1904,"Glutamate receptor ionotropic, NMDA 2B",Homo sapiens,Human,Q9UM56,Ion channels and transporters,1,1,IC50,IC50,1.0,1,2018,2018,4.05,4.05,0.0
CHEMBL1972,"Glutamate receptor ionotropic, NMDA 2A",Homo sapiens,Human,Q17RZ6,Ion channels and transporters,1,1,IC50,IC50,1.0,1,2018,2018,4.73,4.73,0.0
CHEMBL2073682,ATP-binding cassette sub-family C member 3,Rattus norvegicus,Non-human,O88563,Ion channels and transporters,1,1,Ki,Ki,1.0,1,2002,2002,4.11,4.11,0.0
CHEMBL222,Sodium-dependent noradrenaline transporter,Homo sapiens,Human,Q96KH8,Ion channels and transporters,1,1,IC50,IC50,1.0,1,2018,2018,8.0,8.0,0.0
CHEMBL228,Sodium-dependent serotonin transporter,Homo sapiens,Human,Q5EE02,Ion channels and transporters,1,1,IC50,IC50,1.0,1,2018,2018,9.14,9.14,0.0
CHEMBL2369,Small conductance calcium-activated potassium channel protein 1,Homo sapiens,Human,Q92952,Ion channels and transporters,1,1,EC50,EC50,1.0,0,2006,2006,5.3,5.3,0.0
CHEMBL2535,"Solute carrier family 2, facilitated glucose transporter member 1",Homo sapiens,Human,Q147X2,Ion channels and transporters,1,1,IC50,IC50,1.0,1,,,4.63,4.63,0.0
CHEMBL2773,Potassium voltage-gated channel subfamily A member 7,Homo sapiens,Human,Q9BYS4,Ion channels and transporters,1,1,EC50,EC50,1.0,0,2006,2006,7.01,7.01,0.0
CHEMBL3431938,Glucose transporter,Leishmania mexicana,Non-human,O61059,Ion channels and transporters,1,1,IC50,IC50,1.0,1,,,4.87,4.87,0.0
CHEMBL3714706,Transient receptor potential cation channel subfamily M member 7,Mus musculus,Non-human,Q9JLQ1,Ion channels and transporters,1,1,IC50,IC50,1.0,0,2012,2012,6.02,6.02,0.0
CHEMBL4109,"Glutamate receptor ionotropic, NMDA 2C",Homo sapiens,Human,Q14957,Ion channels and transporters,1,1,IC50,IC50,1.0,1,2018,2018,4.17,4.17,0.0
CHEMBL4304,Calcium-activated potassium channel subunit alpha-1,Homo sapiens,Human,Q9UQK6,Ion channels and transporters,1,1,EC50,EC50,1.0,0,2006,2006,5.82,5.82,0.0
CHEMBL4469,Small conductance calcium-activated potassium channel protein 2,Homo sapiens,Human,Q9H2S1,Ion channels and transporters,1,1,EC50,EC50,1.0,0,2006,2006,5.3,5.3,0.0
CHEMBL5279,Potassium voltage-gated channel subfamily A member 6,Homo sapiens,Human,P17658,Ion channels and transporters,1,1,IC50,IC50,1.0,1,2017,2017,6.89,6.89,0.0
